t,m,i,F 00-03,F 04-08,F 09-13,F 14-18,F 19-30,F 31-50,F 51+,M 00-03,M 04-08,M 09-13,M 14-18,M 19-30,M 31-50,M 51+,M NA,log HSize,F NA
2017-18,Bamako,1017008,1,,1,,3,,1,,1,,,2,1,1,,2.397895273,
2017-18,Bamako,1017009,,3,,,1,,,1,,,,,1,,,1.791759469,
2017-18,Bamako,1018001,2,2,,,1,,,1,,,,,1,,,1.945910149,
2017-18,Bamako,1018003,1,1,2,2,2,,1,1,,,,,1,,,2.397895273,
2017-18,Bamako,1018004,,,,,1,,,1,,,,1,,,,1.098612289,
2017-18,Bamako,1018005,,,,1,1,1,1,1,,1,,,2,1,,2.197224577,
2017-18,Bamako,1018007,1,,,1,,1,,,1,1,,,1,,,1.791759469,
2017-18,Bamako,1018008,,1,2,1,,3,,,,1,2,3,,3,,2.772588722,
2017-18,Bamako,1018009,,,,,,,1,,,,,1,,1,,1.098612289,
2017-18,Bamako,1019001,,,1,,,1,,,,1,2,3,1,1,,2.302585093,
2017-18,Bamako,1019002,,,,3,5,,1,,,,,5,1,1,,2.772588722,
2017-18,Bamako,1019003,4,1,1,1,4,2,1,,1,2,,2,2,,,3.044522438,
2017-18,Bamako,1019004,,2,2,,1,,,,,,,,,,,1.609437912,
2017-18,Bamako,1019005,1,,,,1,,,1,,,,,1,,,1.386294361,
2017-18,Bamako,1019006,,,1,1,1,1,,,1,,2,1,1,,,2.197224577,
2017-18,Bamako,1019007,,,,,1,1,,2,1,,1,3,,1,,2.302585093,
2017-18,Bamako,1019008,2,,,,2,,1,,1,,,1,1,,,2.079441542,
2017-18,Bamako,1019009,,1,1,1,,2,,1,1,1,,1,2,,,2.397895273,
2017-18,Kayes,102001,1,4,,1,5,3,2,5,2,2,,3,,1,,3.36729583,
2017-18,Kayes,102002,1,3,,,,2,,,1,,,1,,1,,2.197224577,
2017-18,Kayes,102003,,,,2,,1,,,,1,1,1,,1,,1.945910149,
2017-18,Kayes,102004,1,,,1,,1,,,2,3,1,,,1,,2.302585093,
2017-18,Kayes,102005,,2,2,,,3,1,1,1,3,,,1,,,2.63905733,
2017-18,Kayes,102006,1,1,,,1,,1,,,,,,1,,,1.609437912,
2017-18,Kayes,102007,1,2,,2,3,1,1,4,,2,,,1,,,2.833213344,
2017-18,Kayes,102008,,,,,,1,,,,1,,2,,1,,1.609437912,
2017-18,Kayes,102009,4,2,,,5,,,5,3,1,,1,2,,,3.135494216,
2017-18,Bamako,1020001,1,,,1,,,,,,,,1,,,,1.098612289,
2017-18,Bamako,1020002,1,1,1,,1,,,,,,,1,1,,,1.791759469,
2017-18,Bamako,1020003,,,1,,,1,,,,,,1,,1,,1.386294361,
2017-18,Bamako,1020004,,2,2,1,,,1,,,,2,,1,,,2.197224577,
2017-18,Bamako,1020005,,,1,1,,,1,,,,,2,,1,,1.791759469,
2017-18,Bamako,1020006,1,2,2,,1,,1,2,1,1,1,1,1,,,2.63905733,
2017-18,Bamako,1020007,,1,,,1,,,2,,,,1,,,,1.609437912,
2017-18,Bamako,1020008,1,2,,,,1,,,,1,,1,,1,,1.945910149,
2017-18,Bamako,1020009,,1,1,1,,1,,,,,4,1,,1,,2.302585093,
2017-18,Bamako,1021001,,2,,2,2,1,,,1,,,4,3,1,,2.772588722,
2017-18,Bamako,1021002,1,,1,2,2,3,,1,,1,,2,2,1,,2.772588722,
2017-18,Bamako,1021003,2,1,,,2,1,,2,,,2,3,3,,,2.772588722,
2017-18,Bamako,1021004,,1,,1,2,1,,2,1,1,1,4,1,,,2.708050201,
2017-18,Bamako,1021005,1,,,,2,,,1,1,,,,2,,,1.945910149,
2017-18,Bamako,1021006,1,1,2,,4,1,,,2,1,,3,2,1,,2.890371758,
2017-18,Bamako,1021007,,,1,,1,,,1,1,,,3,1,,,2.079441542,
2017-18,Bamako,1021008,2,,1,,2,1,,3,2,,1,,2,,,2.63905733,
2017-18,Bamako,1021009,3,,1,5,3,,,,1,2,1,1,3,,,2.995732274,
2017-18,Bamako,1022001,,,1,,,1,,,,,1,,,1,,1.386294361,
